FromCurrency,ToCurrency,Date,ExchangeRate
BegoniaDollar,BegoniaDollar,2022/10/1,1
BegoniaDollar,BegoniaDollar,2022/10/2,1
BegoniaDollar,BegoniaDollar,2022/10/3,1
BegoniaDollar,BegoniaDollar,2022/10/4,1
BegoniaDollar,BegoniaDollar,2022/10/5,1
BegoniaDollar,BegoniaDollar,2022/10/6,1
BegoniaDollar,BegoniaDollar,2022/10/7,1
BegoniaDollar,BegoniaDollar,2022/10/8,1
BegoniaDollar,BegoniaDollar,2022/10/9,1
BegoniaDollar,BegoniaDollar,2022/10/10,1
BegoniaDollar,BegoniaDollar,2022/10/11,1
BegoniaDollar,BegoniaDollar,2022/10/12,1
BegoniaDollar,BegoniaDollar,2022/10/13,1
BegoniaDollar,BegoniaDollar,2022/10/14,1
BegoniaDollar,BegoniaDollar,2022/10/15,1
BegoniaDollar,BegoniaDollar,2022/10/16,1
BegoniaDollar,BegoniaDollar,2022/10/17,1
BegoniaDollar,BegoniaDollar,2022/10/18,1
BegoniaDollar,BegoniaDollar,2022/10/19,1
BegoniaDollar,BegoniaDollar,2022/10/20,1
BegoniaDollar,BegoniaDollar,2022/10/21,1
BegoniaDollar,BegoniaDollar,2022/10/22,1
BegoniaDollar,BegoniaDollar,2022/10/23,1
BegoniaDollar,BegoniaDollar,2022/10/24,1
BegoniaDollar,BegoniaDollar,2022/10/25,1
BegoniaDollar,BegoniaDollar,2022/10/26,1
BegoniaDollar,BegoniaDollar,2022/10/27,1
BegoniaDollar,BegoniaDollar,2022/10/28,1
BegoniaDollar,BegoniaDollar,2022/10/29,1
BegoniaDollar,BegoniaDollar,2022/10/30,1
BegoniaDollar,BegoniaDollar,2022/10/31,1
BegoniaDollar,BegoniaDollar,2022/11/1,1
BegoniaDollar,BegoniaDollar,2022/11/2,1
BegoniaDollar,BegoniaDollar,2022/11/3,1
BegoniaDollar,BegoniaDollar,2022/11/4,1
BegoniaDollar,BegoniaDollar,2022/11/5,1
BegoniaDollar,BegoniaDollar,2022/11/6,1
BegoniaDollar,BegoniaDollar,2022/11/7,1
BegoniaDollar,BegoniaDollar,2022/11/8,1
BegoniaDollar,BegoniaDollar,2022/11/9,1
BegoniaDollar,BegoniaDollar,2022/11/10,1
BegoniaDollar,BegoniaDollar,2022/11/11,1
BegoniaDollar,BegoniaDollar,2022/11/12,1
BegoniaDollar,BegoniaDollar,2022/11/13,1
BegoniaDollar,BegoniaDollar,2022/11/14,1
BegoniaDollar,BegoniaDollar,2022/11/15,1
BegoniaDollar,BegoniaDollar,2022/11/16,1
BegoniaDollar,BegoniaDollar,2022/11/17,1
BegoniaDollar,BegoniaDollar,2022/11/18,1
BegoniaDollar,BegoniaDollar,2022/11/19,1
BegoniaDollar,BegoniaDollar,2022/11/20,1
BegoniaDollar,BegoniaDollar,2022/11/21,1
BegoniaDollar,BegoniaDollar,2022/11/22,1
BegoniaDollar,BegoniaDollar,2022/11/23,1
BegoniaDollar,BegoniaDollar,2022/11/24,1
BegoniaDollar,BegoniaDollar,2022/11/25,1
BegoniaDollar,BegoniaDollar,2022/11/26,1
BegoniaDollar,BegoniaDollar,2022/11/27,1
BegoniaDollar,BegoniaDollar,2022/11/28,1
BegoniaDollar,BegoniaDollar,2022/11/29,1
BegoniaDollar,BegoniaDollar,2022/11/30,1
BegoniaDollar,CarnationDollar,2022/10/1,5.33
BegoniaDollar,CarnationDollar,2022/10/2,5.23
BegoniaDollar,CarnationDollar,2022/10/3,4.53
BegoniaDollar,CarnationDollar,2022/10/4,5.63
BegoniaDollar,CarnationDollar,2022/10/5,5.03
BegoniaDollar,CarnationDollar,2022/10/6,5.63
BegoniaDollar,CarnationDollar,2022/10/7,5.73
BegoniaDollar,CarnationDollar,2022/10/8,5.83
BegoniaDollar,CarnationDollar,2022/10/9,4.93
BegoniaDollar,CarnationDollar,2022/10/10,4.43
BegoniaDollar,CarnationDollar,2022/10/11,4.93
BegoniaDollar,CarnationDollar,2022/10/12,5.83
BegoniaDollar,CarnationDollar,2022/10/13,5.73
BegoniaDollar,CarnationDollar,2022/10/14,4.93
BegoniaDollar,CarnationDollar,2022/10/15,4.43
BegoniaDollar,CarnationDollar,2022/10/16,5.43
BegoniaDollar,CarnationDollar,2022/10/17,5.33
BegoniaDollar,CarnationDollar,2022/10/18,5.63
BegoniaDollar,CarnationDollar,2022/10/19,4.93
BegoniaDollar,CarnationDollar,2022/10/20,5.43
BegoniaDollar,CarnationDollar,2022/10/21,5.73
BegoniaDollar,CarnationDollar,2022/10/22,4.63
BegoniaDollar,CarnationDollar,2022/10/23,5.73
BegoniaDollar,CarnationDollar,2022/10/24,4.93
BegoniaDollar,CarnationDollar,2022/10/25,4.83
BegoniaDollar,CarnationDollar,2022/10/26,5.03
BegoniaDollar,CarnationDollar,2022/10/27,4.63
BegoniaDollar,CarnationDollar,2022/10/28,5.73
BegoniaDollar,CarnationDollar,2022/10/29,4.73
BegoniaDollar,CarnationDollar,2022/10/30,5.83
BegoniaDollar,CarnationDollar,2022/10/31,4.93
BegoniaDollar,CarnationDollar,2022/11/1,5.13
BegoniaDollar,CarnationDollar,2022/11/2,5.53
BegoniaDollar,CarnationDollar,2022/11/3,5.83
BegoniaDollar,CarnationDollar,2022/11/4,5.33
BegoniaDollar,CarnationDollar,2022/11/5,5.73
BegoniaDollar,CarnationDollar,2022/11/6,5.73
BegoniaDollar,CarnationDollar,2022/11/7,4.73
BegoniaDollar,CarnationDollar,2022/11/8,5.23
BegoniaDollar,CarnationDollar,2022/11/9,5.83
BegoniaDollar,CarnationDollar,2022/11/10,4.73
BegoniaDollar,CarnationDollar,2022/11/11,5.83
BegoniaDollar,CarnationDollar,2022/11/12,5.03
BegoniaDollar,CarnationDollar,2022/11/13,4.53
BegoniaDollar,CarnationDollar,2022/11/14,4.53
BegoniaDollar,CarnationDollar,2022/11/15,5.23
BegoniaDollar,CarnationDollar,2022/11/16,4.73
BegoniaDollar,CarnationDollar,2022/11/17,5.53
BegoniaDollar,CarnationDollar,2022/11/18,4.63
BegoniaDollar,CarnationDollar,2022/11/19,5.53
BegoniaDollar,CarnationDollar,2022/11/20,4.53
BegoniaDollar,CarnationDollar,2022/11/21,5.73
BegoniaDollar,CarnationDollar,2022/11/22,4.43
BegoniaDollar,CarnationDollar,2022/11/23,4.73
BegoniaDollar,CarnationDollar,2022/11/24,5.73
BegoniaDollar,CarnationDollar,2022/11/25,4.43
BegoniaDollar,CarnationDollar,2022/11/26,4.93
BegoniaDollar,CarnationDollar,2022/11/27,5.53
BegoniaDollar,CarnationDollar,2022/11/28,5.53
BegoniaDollar,CarnationDollar,2022/11/29,4.73
BegoniaDollar,CarnationDollar,2022/11/30,4.53
BegoniaDollar,GauraDollar,2022/10/1,0.53
BegoniaDollar,GauraDollar,2022/10/2,1.33
BegoniaDollar,GauraDollar,2022/10/3,0.73
BegoniaDollar,GauraDollar,2022/10/4,0.83
BegoniaDollar,GauraDollar,2022/10/5,0.03
BegoniaDollar,GauraDollar,2022/10/6,0.43
BegoniaDollar,GauraDollar,2022/10/7,0.43
BegoniaDollar,GauraDollar,2022/10/8,1.03
BegoniaDollar,GauraDollar,2022/10/9,1.13
BegoniaDollar,GauraDollar,2022/10/10,0.53
BegoniaDollar,GauraDollar,2022/10/11,1.23
BegoniaDollar,GauraDollar,2022/10/12,0.63
BegoniaDollar,GauraDollar,2022/10/13,0.83
BegoniaDollar,GauraDollar,2022/10/14,0.83
BegoniaDollar,GauraDollar,2022/10/15,0.93
BegoniaDollar,GauraDollar,2022/10/16,0.83
BegoniaDollar,GauraDollar,2022/10/17,1.33
BegoniaDollar,GauraDollar,2022/10/18,0.83
BegoniaDollar,GauraDollar,2022/10/19,1.13
BegoniaDollar,GauraDollar,2022/10/20,0.63
BegoniaDollar,GauraDollar,2022/10/21,0.53
BegoniaDollar,GauraDollar,2022/10/22,0.43
BegoniaDollar,GauraDollar,2022/10/23,0.13
BegoniaDollar,GauraDollar,2022/10/24,0.33
BegoniaDollar,GauraDollar,2022/10/25,0.63
BegoniaDollar,GauraDollar,2022/10/26,1.23
BegoniaDollar,GauraDollar,2022/10/27,1.13
BegoniaDollar,GauraDollar,2022/10/28,0.83
BegoniaDollar,GauraDollar,2022/10/29,1.23
BegoniaDollar,GauraDollar,2022/10/30,0.83
BegoniaDollar,GauraDollar,2022/10/31,0.63
BegoniaDollar,GauraDollar,2022/11/1,0.43
BegoniaDollar,GauraDollar,2022/11/2,0.33
BegoniaDollar,GauraDollar,2022/11/3,0.43
BegoniaDollar,GauraDollar,2022/11/4,0.63
BegoniaDollar,GauraDollar,2022/11/5,0.53
BegoniaDollar,GauraDollar,2022/11/6,0.03
BegoniaDollar,GauraDollar,2022/11/7,0.53
BegoniaDollar,GauraDollar,2022/11/8,0.13
BegoniaDollar,GauraDollar,2022/11/9,1.23
BegoniaDollar,GauraDollar,2022/11/10,1.23
BegoniaDollar,GauraDollar,2022/11/11,1.23
BegoniaDollar,GauraDollar,2022/11/12,1.23
BegoniaDollar,GauraDollar,2022/11/13,1.03
BegoniaDollar,GauraDollar,2022/11/14,0.43
BegoniaDollar,GauraDollar,2022/11/15,0.43
BegoniaDollar,GauraDollar,2022/11/16,0.63
BegoniaDollar,GauraDollar,2022/11/17,1.33
BegoniaDollar,GauraDollar,2022/11/18,0.13
BegoniaDollar,GauraDollar,2022/11/19,1.13
BegoniaDollar,GauraDollar,2022/11/20,0.63
BegoniaDollar,GauraDollar,2022/11/21,1.43
BegoniaDollar,GauraDollar,2022/11/22,0.53
BegoniaDollar,GauraDollar,2022/11/23,0.13
BegoniaDollar,GauraDollar,2022/11/24,0.43
BegoniaDollar,GauraDollar,2022/11/25,1.33
BegoniaDollar,GauraDollar,2022/11/26,0.93
BegoniaDollar,GauraDollar,2022/11/27,1.03
BegoniaDollar,GauraDollar,2022/11/28,0.03
BegoniaDollar,GauraDollar,2022/11/29,0.13
BegoniaDollar,GauraDollar,2022/11/30,1.13
BegoniaDollar,IpomoeaDollar,2022/10/1,0.19
BegoniaDollar,IpomoeaDollar,2022/10/2,1.29
BegoniaDollar,IpomoeaDollar,2022/10/3,0.89
BegoniaDollar,IpomoeaDollar,2022/10/4,0.49
BegoniaDollar,IpomoeaDollar,2022/10/5,0.39
BegoniaDollar,IpomoeaDollar,2022/10/6,0.29
BegoniaDollar,IpomoeaDollar,2022/10/7,0.79
BegoniaDollar,IpomoeaDollar,2022/10/8,0.39
BegoniaDollar,IpomoeaDollar,2022/10/9,0.19
BegoniaDollar,IpomoeaDollar,2022/10/10,1.29
BegoniaDollar,IpomoeaDollar,2022/10/11,1.39
BegoniaDollar,IpomoeaDollar,2022/10/12,0.59
BegoniaDollar,IpomoeaDollar,2022/10/13,1.39
BegoniaDollar,IpomoeaDollar,2022/10/14,0.89
BegoniaDollar,IpomoeaDollar,2022/10/15,0.09
BegoniaDollar,IpomoeaDollar,2022/10/16,0.99
BegoniaDollar,IpomoeaDollar,2022/10/17,0.49
BegoniaDollar,IpomoeaDollar,2022/10/18,1.09
BegoniaDollar,IpomoeaDollar,2022/10/19,0.89
BegoniaDollar,IpomoeaDollar,2022/10/20,0.99
BegoniaDollar,IpomoeaDollar,2022/10/21,0.49
BegoniaDollar,IpomoeaDollar,2022/10/22,0.09
BegoniaDollar,IpomoeaDollar,2022/10/23,0.79
BegoniaDollar,IpomoeaDollar,2022/10/24,0.39
BegoniaDollar,IpomoeaDollar,2022/10/25,1.19
BegoniaDollar,IpomoeaDollar,2022/10/26,0.89
BegoniaDollar,IpomoeaDollar,2022/10/27,0.29
BegoniaDollar,IpomoeaDollar,2022/10/28,0.29
BegoniaDollar,IpomoeaDollar,2022/10/29,0.19
BegoniaDollar,IpomoeaDollar,2022/10/30,0.89
BegoniaDollar,IpomoeaDollar,2022/10/31,0.39
BegoniaDollar,IpomoeaDollar,2022/11/1,1.19
BegoniaDollar,IpomoeaDollar,2022/11/2,0.59
BegoniaDollar,IpomoeaDollar,2022/11/3,1.39
BegoniaDollar,IpomoeaDollar,2022/11/4,0.49
BegoniaDollar,IpomoeaDollar,2022/11/5,0.29
BegoniaDollar,IpomoeaDollar,2022/11/6,0.19
BegoniaDollar,IpomoeaDollar,2022/11/7,0.29
BegoniaDollar,IpomoeaDollar,2022/11/8,0.69
BegoniaDollar,IpomoeaDollar,2022/11/9,0.49
BegoniaDollar,IpomoeaDollar,2022/11/10,0.19
BegoniaDollar,IpomoeaDollar,2022/11/11,0.99
BegoniaDollar,IpomoeaDollar,2022/11/12,0.19
BegoniaDollar,IpomoeaDollar,2022/11/13,0.39
BegoniaDollar,IpomoeaDollar,2022/11/14,0.89
BegoniaDollar,IpomoeaDollar,2022/11/15,1.29
BegoniaDollar,IpomoeaDollar,2022/11/16,0.39
BegoniaDollar,IpomoeaDollar,2022/11/17,1.19
BegoniaDollar,IpomoeaDollar,2022/11/18,0.19
BegoniaDollar,IpomoeaDollar,2022/11/19,1.09
BegoniaDollar,IpomoeaDollar,2022/11/20,0.79
BegoniaDollar,IpomoeaDollar,2022/11/21,0.49
BegoniaDollar,IpomoeaDollar,2022/11/22,1.19
BegoniaDollar,IpomoeaDollar,2022/11/23,0.69
BegoniaDollar,IpomoeaDollar,2022/11/24,0.49
BegoniaDollar,IpomoeaDollar,2022/11/25,1.29
BegoniaDollar,IpomoeaDollar,2022/11/26,0.59
BegoniaDollar,IpomoeaDollar,2022/11/27,1.39
BegoniaDollar,IpomoeaDollar,2022/11/28,0.39
BegoniaDollar,IpomoeaDollar,2022/11/29,0.19
BegoniaDollar,IpomoeaDollar,2022/11/30,1.19
BegoniaDollar,RoseDollar,2022/10/1,6.32
BegoniaDollar,RoseDollar,2022/10/2,5.82
BegoniaDollar,RoseDollar,2022/10/3,5.12
BegoniaDollar,RoseDollar,2022/10/4,6.32
BegoniaDollar,RoseDollar,2022/10/5,5.62
BegoniaDollar,RoseDollar,2022/10/6,5.62
BegoniaDollar,RoseDollar,2022/10/7,6.02
BegoniaDollar,RoseDollar,2022/10/8,6.02
BegoniaDollar,RoseDollar,2022/10/9,6.22
BegoniaDollar,RoseDollar,2022/10/10,5.62
BegoniaDollar,RoseDollar,2022/10/11,5.82
BegoniaDollar,RoseDollar,2022/10/12,5.32
BegoniaDollar,RoseDollar,2022/10/13,6.12
BegoniaDollar,RoseDollar,2022/10/14,5.92
BegoniaDollar,RoseDollar,2022/10/15,5.72
BegoniaDollar,RoseDollar,2022/10/16,5.22
BegoniaDollar,RoseDollar,2022/10/17,5.42
BegoniaDollar,RoseDollar,2022/10/18,6.12
BegoniaDollar,RoseDollar,2022/10/19,5.32
BegoniaDollar,RoseDollar,2022/10/20,5.12
BegoniaDollar,RoseDollar,2022/10/21,5.52
BegoniaDollar,RoseDollar,2022/10/22,6.22
BegoniaDollar,RoseDollar,2022/10/23,5.02
BegoniaDollar,RoseDollar,2022/10/24,6.12
BegoniaDollar,RoseDollar,2022/10/25,6.02
BegoniaDollar,RoseDollar,2022/10/26,6.22
BegoniaDollar,RoseDollar,2022/10/27,5.12
BegoniaDollar,RoseDollar,2022/10/28,5.12
BegoniaDollar,RoseDollar,2022/10/29,6.22
BegoniaDollar,RoseDollar,2022/10/30,5.52
BegoniaDollar,RoseDollar,2022/10/31,6.12
BegoniaDollar,RoseDollar,2022/11/1,5.22
BegoniaDollar,RoseDollar,2022/11/2,5.22
BegoniaDollar,RoseDollar,2022/11/3,6.42
BegoniaDollar,RoseDollar,2022/11/4,5.72
BegoniaDollar,RoseDollar,2022/11/5,5.52
BegoniaDollar,RoseDollar,2022/11/6,5.72
BegoniaDollar,RoseDollar,2022/11/7,5.82
BegoniaDollar,RoseDollar,2022/11/8,5.42
BegoniaDollar,RoseDollar,2022/11/9,6.42
BegoniaDollar,RoseDollar,2022/11/10,6.12
BegoniaDollar,RoseDollar,2022/11/11,5.02
BegoniaDollar,RoseDollar,2022/11/12,5.12
BegoniaDollar,RoseDollar,2022/11/13,6.02
BegoniaDollar,RoseDollar,2022/11/14,5.72
BegoniaDollar,RoseDollar,2022/11/15,5.82
BegoniaDollar,RoseDollar,2022/11/16,5.92
BegoniaDollar,RoseDollar,2022/11/17,5.72
BegoniaDollar,RoseDollar,2022/11/18,5.12
BegoniaDollar,RoseDollar,2022/11/19,5.92
BegoniaDollar,RoseDollar,2022/11/20,5.02
BegoniaDollar,RoseDollar,2022/11/21,6.42
BegoniaDollar,RoseDollar,2022/11/22,6.02
BegoniaDollar,RoseDollar,2022/11/23,6.42
BegoniaDollar,RoseDollar,2022/11/24,6.22
BegoniaDollar,RoseDollar,2022/11/25,6.02
BegoniaDollar,RoseDollar,2022/11/26,5.62
BegoniaDollar,RoseDollar,2022/11/27,6.02
BegoniaDollar,RoseDollar,2022/11/28,6.02
BegoniaDollar,RoseDollar,2022/11/29,5.52
BegoniaDollar,RoseDollar,2022/11/30,5.62
BegoniaDollar,TulipDollar,2022/10/1,22.67
BegoniaDollar,TulipDollar,2022/10/2,22.37
BegoniaDollar,TulipDollar,2022/10/3,22.07
BegoniaDollar,TulipDollar,2022/10/4,23.17
BegoniaDollar,TulipDollar,2022/10/5,23.07
BegoniaDollar,TulipDollar,2022/10/6,22.87
BegoniaDollar,TulipDollar,2022/10/7,22.27
BegoniaDollar,TulipDollar,2022/10/8,21.97
BegoniaDollar,TulipDollar,2022/10/9,22.97
BegoniaDollar,TulipDollar,2022/10/10,22.67
BegoniaDollar,TulipDollar,2022/10/11,22.27
BegoniaDollar,TulipDollar,2022/10/12,22.77
BegoniaDollar,TulipDollar,2022/10/13,23.17
BegoniaDollar,TulipDollar,2022/10/14,22.57
BegoniaDollar,TulipDollar,2022/10/15,23.27
BegoniaDollar,TulipDollar,2022/10/16,22.87
BegoniaDollar,TulipDollar,2022/10/17,22.67
BegoniaDollar,TulipDollar,2022/10/18,22.17
BegoniaDollar,TulipDollar,2022/10/19,22.47
BegoniaDollar,TulipDollar,2022/10/20,22.47
BegoniaDollar,TulipDollar,2022/10/21,22.67
BegoniaDollar,TulipDollar,2022/10/22,22.17
BegoniaDollar,TulipDollar,2022/10/23,22.67
BegoniaDollar,TulipDollar,2022/10/24,21.97
BegoniaDollar,TulipDollar,2022/10/25,22.87
BegoniaDollar,TulipDollar,2022/10/26,22.87
BegoniaDollar,TulipDollar,2022/10/27,22.77
BegoniaDollar,TulipDollar,2022/10/28,23.37
BegoniaDollar,TulipDollar,2022/10/29,23.37
BegoniaDollar,TulipDollar,2022/10/30,22.47
BegoniaDollar,TulipDollar,2022/10/31,22.97
BegoniaDollar,TulipDollar,2022/11/1,23.07
BegoniaDollar,TulipDollar,2022/11/2,22.37
BegoniaDollar,TulipDollar,2022/11/3,22.17
BegoniaDollar,TulipDollar,2022/11/4,22.47
BegoniaDollar,TulipDollar,2022/11/5,22.57
BegoniaDollar,TulipDollar,2022/11/6,23.07
BegoniaDollar,TulipDollar,2022/11/7,22.27
BegoniaDollar,TulipDollar,2022/11/8,22.97
BegoniaDollar,TulipDollar,2022/11/9,22.27
BegoniaDollar,TulipDollar,2022/11/10,23.17
BegoniaDollar,TulipDollar,2022/11/11,22.57
BegoniaDollar,TulipDollar,2022/11/12,23.27
BegoniaDollar,TulipDollar,2022/11/13,22.37
BegoniaDollar,TulipDollar,2022/11/14,23.37
BegoniaDollar,TulipDollar,2022/11/15,22.27
BegoniaDollar,TulipDollar,2022/11/16,22.17
BegoniaDollar,TulipDollar,2022/11/17,22.57
BegoniaDollar,TulipDollar,2022/11/18,23.37
BegoniaDollar,TulipDollar,2022/11/19,23.07
BegoniaDollar,TulipDollar,2022/11/20,22.07
BegoniaDollar,TulipDollar,2022/11/21,22.67
BegoniaDollar,TulipDollar,2022/11/22,21.97
BegoniaDollar,TulipDollar,2022/11/23,22.77
BegoniaDollar,TulipDollar,2022/11/24,22.07
BegoniaDollar,TulipDollar,2022/11/25,22.17
BegoniaDollar,TulipDollar,2022/11/26,22.57
BegoniaDollar,TulipDollar,2022/11/27,22.07
BegoniaDollar,TulipDollar,2022/11/28,22.47
BegoniaDollar,TulipDollar,2022/11/29,22.87
BegoniaDollar,TulipDollar,2022/11/30,22.57
CarnationDollar,CarnationDollar,2022/10/1,1
CarnationDollar,CarnationDollar,2022/10/2,1
CarnationDollar,CarnationDollar,2022/10/3,1
CarnationDollar,CarnationDollar,2022/10/4,1
CarnationDollar,CarnationDollar,2022/10/5,1
CarnationDollar,CarnationDollar,2022/10/6,1
CarnationDollar,CarnationDollar,2022/10/7,1
CarnationDollar,CarnationDollar,2022/10/8,1
CarnationDollar,CarnationDollar,2022/10/9,1
CarnationDollar,CarnationDollar,2022/10/10,1
CarnationDollar,CarnationDollar,2022/10/11,1
CarnationDollar,CarnationDollar,2022/10/12,1
CarnationDollar,CarnationDollar,2022/10/13,1
CarnationDollar,CarnationDollar,2022/10/14,1
CarnationDollar,CarnationDollar,2022/10/15,1
CarnationDollar,CarnationDollar,2022/10/16,1
CarnationDollar,CarnationDollar,2022/10/17,1
CarnationDollar,CarnationDollar,2022/10/18,1
CarnationDollar,CarnationDollar,2022/10/19,1
CarnationDollar,CarnationDollar,2022/10/20,1
CarnationDollar,CarnationDollar,2022/10/21,1
CarnationDollar,CarnationDollar,2022/10/22,1
CarnationDollar,CarnationDollar,2022/10/23,1
CarnationDollar,CarnationDollar,2022/10/24,1
CarnationDollar,CarnationDollar,2022/10/25,1
CarnationDollar,CarnationDollar,2022/10/26,1
CarnationDollar,CarnationDollar,2022/10/27,1
CarnationDollar,CarnationDollar,2022/10/28,1
CarnationDollar,CarnationDollar,2022/10/29,1
CarnationDollar,CarnationDollar,2022/10/30,1
CarnationDollar,CarnationDollar,2022/10/31,1
CarnationDollar,CarnationDollar,2022/11/1,1
CarnationDollar,CarnationDollar,2022/11/2,1
CarnationDollar,CarnationDollar,2022/11/3,1
CarnationDollar,CarnationDollar,2022/11/4,1
CarnationDollar,CarnationDollar,2022/11/5,1
CarnationDollar,CarnationDollar,2022/11/6,1
CarnationDollar,CarnationDollar,2022/11/7,1
CarnationDollar,CarnationDollar,2022/11/8,1
CarnationDollar,CarnationDollar,2022/11/9,1
CarnationDollar,CarnationDollar,2022/11/10,1
CarnationDollar,CarnationDollar,2022/11/11,1
CarnationDollar,CarnationDollar,2022/11/12,1
CarnationDollar,CarnationDollar,2022/11/13,1
CarnationDollar,CarnationDollar,2022/11/14,1
CarnationDollar,CarnationDollar,2022/11/15,1
CarnationDollar,CarnationDollar,2022/11/16,1
CarnationDollar,CarnationDollar,2022/11/17,1
CarnationDollar,CarnationDollar,2022/11/18,1
CarnationDollar,CarnationDollar,2022/11/19,1
CarnationDollar,CarnationDollar,2022/11/20,1
CarnationDollar,CarnationDollar,2022/11/21,1
CarnationDollar,CarnationDollar,2022/11/22,1
CarnationDollar,CarnationDollar,2022/11/23,1
CarnationDollar,CarnationDollar,2022/11/24,1
CarnationDollar,CarnationDollar,2022/11/25,1
CarnationDollar,CarnationDollar,2022/11/26,1
CarnationDollar,CarnationDollar,2022/11/27,1
CarnationDollar,CarnationDollar,2022/11/28,1
